testing_date,age_group,total_tests,confirmed_positives,confirmed_deceased,estimate_recovered
2020-02-25,O,15,0.0,0.0,
2020-02-25,Y,17,1.0,0.0,
2020-02-26,O,18,1.0,0.0,
2020-02-26,Y,23,0.0,0.0,
2020-02-27,O,4,1.0,0.0,
2020-02-27,Y,24,1.0,0.0,
2020-02-28,O,3,0.0,0.0,
2020-02-28,Y,10,2.0,0.0,
2020-02-29,O,3,0.0,0.0,
2020-02-29,Y,7,0.0,0.0,
2020-03-01,O,1,0.0,0.0,
2020-03-01,Y,9,1.0,0.0,
2020-03-02,O,1,0.0,0.0,
2020-03-02,Y,23,1.0,0.0,
2020-03-03,O,3,0.0,0.0,
2020-03-03,Y,12,0.0,0.0,
2020-03-04,O,2,0.0,0.0,
2020-03-04,Y,12,1.0,0.0,
2020-03-05,O,7,1.0,0.0,
2020-03-05,Y,11,0.0,0.0,
2020-03-06,O,3,0.0,0.0,
2020-03-06,Y,10,1.0,0.0,
2020-03-07,O,2,0.0,0.0,
2020-03-07,Y,11,0.0,0.0,
2020-03-08,O,2,0.0,0.0,
2020-03-08,Y,3,0.0,0.0,
2020-03-09,O,4,0.0,0.0,
2020-03-09,Y,12,1.0,0.0,
2020-03-10,O,4,0.0,0.0,
2020-03-10,Y,14,3.0,0.0,
2020-03-11,O,12,1.0,0.0,
2020-03-11,Y,34,5.0,0.0,
2020-03-12,O,19,3.0,0.0,
2020-03-12,Y,59,6.0,0.0,
2020-03-13,O,16,5.0,0.0,
2020-03-13,Y,61,2.0,0.0,
2020-03-14,O,17,2.0,0.0,
2020-03-14,Y,84,9.0,0.0,
2020-03-15,O,12,3.0,0.0,
2020-03-15,Y,62,6.0,0.0,
2020-03-16,O,51,9.0,0.0,
2020-03-16,Y,83,2.0,0.0,
2020-03-17,O,36,7.0,0.0,
2020-03-17,Y,98,14.0,0.0,
2020-03-18,O,50,10.0,0.0,
2020-03-18,Y,99,12.0,0.0,
2020-03-19,O,73,16.0,0.0,
2020-03-19,Y,144,15.0,0.0,
2020-03-20,O,113,40.0,0.0,
2020-03-20,Y,234,48.0,0.0,
2020-03-21,O,59,20.0,1.0,
2020-03-21,Y,128,23.0,0.0,
2020-03-22,O,52,18.0,1.0,
2020-03-22,Y,110,19.0,1.0,
2020-03-23,O,141,46.0,1.0,
2020-03-23,Y,210,35.0,1.0,
2020-03-24,O,110,32.0,2.0,
2020-03-24,Y,208,30.0,0.0,
2020-03-25,O,108,26.0,1.0,
2020-03-25,Y,200,25.0,0.0,
2020-03-26,O,209,50.0,5.0,
2020-03-26,Y,283,44.0,0.0,
2020-03-27,O,196,44.0,1.0,
2020-03-27,Y,304,23.0,0.0,
2020-03-28,O,124,37.0,2.0,
2020-03-28,Y,191,25.0,0.0,
2020-03-29,O,154,37.0,2.0,
2020-03-29,Y,276,44.0,1.0,
2020-03-30,O,202,42.0,2.0,
2020-03-30,Y,291,37.0,0.0,
2020-03-31,O,250,54.0,1.0,
2020-03-31,Y,322,36.0,0.0,
2020-04-01,O,266,42.0,2.0,
2020-04-01,Y,333,29.0,0.0,
2020-04-02,O,381,34.0,0.0,
2020-04-02,Y,439,31.0,0.0,
2020-04-03,O,225,28.0,0.0,
2020-04-03,Y,306,20.0,0.0,
2020-04-04,O,240,22.0,0.0,
2020-04-04,Y,403,28.0,0.0,
2020-04-05,O,206,25.0,1.0,
2020-04-05,Y,348,14.0,0.0,
2020-04-06,O,337,34.0,1.0,
2020-04-06,Y,450,31.0,0.0,
2020-04-07,O,323,52.0,2.0,
2020-04-07,Y,375,23.0,0.0,
2020-04-08,O,353,25.0,2.0,
2020-04-08,Y,405,30.0,0.0,
2020-04-09,O,432,68.0,7.0,
2020-04-09,Y,481,23.0,0.0,
2020-04-10,O,484,25.0,3.0,
2020-04-10,Y,528,36.0,0.0,
2020-04-11,O,296,36.0,2.0,
2020-04-11,Y,320,17.0,0.0,
2020-04-12,O,273,16.0,2.0,
2020-04-12,Y,171,9.0,0.0,
2020-04-13,O,227,27.0,0.0,
2020-04-13,Y,215,21.0,0.0,
2020-04-14,O,455,37.0,2.0,
2020-04-14,Y,347,13.0,0.0,
2020-04-15,O,450,26.0,0.0,
2020-04-15,Y,361,11.0,0.0,
2020-04-16,O,471,7.0,0.0,
2020-04-16,Y,395,7.0,0.0,
2020-04-17,O,390,13.0,0.0,
2020-04-17,Y,410,7.0,0.0,
2020-04-18,O,572,13.0,0.0,
2020-04-18,Y,331,10.0,0.0,
2020-04-19,O,307,15.0,1.0,
2020-04-19,Y,203,9.0,0.0,
2020-04-20,O,378,17.0,4.0,
2020-04-20,Y,276,6.0,0.0,
2020-04-21,O,496,24.0,1.0,
2020-04-21,Y,461,21.0,0.0,
2020-04-22,O,471,24.0,2.0,
2020-04-22,Y,388,2.0,0.0,
2020-04-23,O,493,19.0,0.0,
2020-04-23,Y,432,9.0,0.0,
2020-04-24,O,457,4.0,0.0,
2020-04-24,Y,367,2.0,0.0,
2020-04-25,O,417,10.0,0.0,
2020-04-25,Y,269,4.0,0.0,
2020-04-26,O,190,5.0,0.0,
2020-04-26,Y,133,4.0,0.0,
2020-04-27,O,432,5.0,0.0,
2020-04-27,Y,404,1.0,0.0,
2020-04-28,O,523,13.0,0.0,
2020-04-28,Y,356,7.0,0.0,
2020-04-29,O,470,7.0,1.0,
2020-04-29,Y,446,5.0,0.0,
2020-04-30,O,429,5.0,0.0,
2020-04-30,Y,383,3.0,0.0,
2020-05-01,O,188,1.0,0.0,
2020-05-01,Y,167,2.0,0.0,
2020-05-02,O,377,6.0,0.0,
2020-05-02,Y,325,5.0,0.0,
2020-05-03,O,250,5.0,0.0,
2020-05-03,Y,237,1.0,0.0,
2020-05-04,O,527,4.0,1.0,
2020-05-04,Y,389,8.0,1.0,
2020-05-05,O,673,1.0,0.0,
2020-05-05,Y,482,1.0,0.0,
2020-05-06,O,575,4.0,0.0,
2020-05-06,Y,459,6.0,0.0,
2020-05-07,O,574,25.0,0.0,
2020-05-07,Y,406,15.0,0.0,
2020-05-08,O,599,4.0,0.0,
2020-05-08,Y,464,4.0,0.0,
2020-05-09,O,642,6.0,0.0,
2020-05-09,Y,345,10.0,0.0,
2020-05-10,O,464,1.0,0.0,
2020-05-10,Y,287,4.0,0.0,
2020-05-11,O,758,5.0,1.0,
2020-05-11,Y,508,4.0,0.0,
2020-05-12,O,844,2.0,0.0,
2020-05-12,Y,509,6.0,0.0,
2020-05-13,O,849,5.0,0.0,
2020-05-13,Y,549,1.0,0.0,
2020-05-14,O,612,0.0,0.0,
2020-05-14,Y,399,0.0,0.0,
2020-05-15,O,821,2.0,0.0,
2020-05-15,Y,496,2.0,0.0,
2020-05-16,O,677,0.0,0.0,
2020-05-16,Y,399,0.0,0.0,
2020-05-17,O,437,2.0,0.0,
2020-05-17,Y,242,0.0,0.0,
2020-05-18,O,932,3.0,0.0,
2020-05-18,Y,589,2.0,0.0,
2020-05-19,O,802,0.0,0.0,
2020-05-19,Y,422,1.0,0.0,
2020-05-20,O,762,4.0,0.0,
2020-05-20,Y,477,0.0,0.0,
2020-05-21,O,627,1.0,0.0,
2020-05-21,Y,411,4.0,0.0,
2020-05-22,O,535,0.0,0.0,
2020-05-22,Y,364,0.0,0.0,
2020-05-23,O,566,0.0,0.0,
2020-05-23,Y,316,1.0,0.0,
2020-05-24,O,444,0.0,0.0,
2020-05-24,Y,256,0.0,0.0,
2020-05-25,O,660,0.0,0.0,
2020-05-25,Y,363,0.0,0.0,
2020-05-26,O,636,0.0,0.0,
2020-05-26,Y,346,0.0,0.0,
2020-05-27,O,407,1.0,0.0,
2020-05-27,Y,202,0.0,0.0,
2020-05-28,O,280,1.0,0.0,
2020-05-28,Y,176,0.0,0.0,
2020-05-29,O,261,0.0,0.0,
2020-05-29,Y,300,0.0,0.0,
2020-05-30,O,159,0.0,0.0,
2020-05-30,Y,99,0.0,0.0,
2020-05-31,O,128,0.0,0.0,
2020-05-31,Y,117,0.0,0.0,
2020-06-01,O,275,0.0,0.0,
2020-06-01,Y,196,0.0,0.0,
